name,delivery_type,delivery_1l,delivery_extra_l,storage_1l,storage_extra_l
Екатеринбург - Перспективный 12/2,Моно,103.5,31.5,56.25,0
Краснодар (Тихорецкая),Моно,75.9,23.1,41.25,0
Подольск 4,Моно,161.0,49.0,87.5,0
Рязань (Тюшевское),Моно,46.0,14.0,45.0,0
Тула,Моно,73.6,22.4,65.0,0
Новосемейкино,Моно,92.0,28.0,50.0,0
Воронеж,Моно,73.6,22.4,40.0,0
Котовск,Моно,71.3,21.7,48.75,0
Электросталь,Моно,78.2,23.8,41.25,0
Владимир Воршинское,Моно,96.6,29.4,52.5,0
СЦ Байсерке,Моно,32.2,9.8,17.5,0
Волгоград,Моно,50.6,15.4,27.5,0
Сарапул,Моно,96.6,29.4,52.5,0
СЦ Кузнецк,Моно,75.9,23.1,41.25,0
СЦ Барнаул,Моно,96.6,29.4,52.5,0
Кузнецк СГТ,Моно,46.0,14.0,25.0,0
СЦ Минск,Моно,89.7,27.3,48.75,0
Санкт-Петербург (Уткина Заводь),Моно,115.0,35.0,62.5,0
СЦ Шушары,Моно,105.8,32.2,57.5,0
Обухово СГТ,Моно,46.0,14.0,25.0,0
СЦ Обухово 2,Моно,78.2,23.8,42.5,0
СЦ Актобе,Моно,27.6,8.4,15.0,0
Голицыно СГТ,Моно,46.0,14.0,25.0,0
Чашниково,Моно,115.0,35.0,62.5,0
Астана 2,Моно,41.4,12.6,22.5,0
Склад Владивосток,Моно,101.2,30.8,55.0,0
Щербинка,Моно,98.9,30.1,53.75,0
"Чехов 1, Новоселки вл 11 стр 2",Моно,94.3,28.7,51.25,0
"Чехов 2, Новоселки вл 11 стр 7",Моно,94.3,28.7,51.25,0
Казань,Моно,110.4,33.6,65.0,0
Ярославль СГТ,Моно,46.0,14.0,25.0,0
Склад Истра,Моно,92.0,28.0,50.0,0
Ташкент 1,Моно,46.0,14.0,25.0,0
Санкт-Петербург СГТ,Моно,46.0,14.0,25.0,0
Пенза,Моно,46.0,14.0,25.0,0
Софьино СГТ,Моно,46.0,14.0,25.0,0
Софрино СГТ,Моно,46.0,14.0,25.0,0
Новосибирск СГТ,Моно,46.0,14.0,25.0,0
Челябинск СГТ,Моно,46.0,14.0,25.0,0
Нижний Тагил: Индустриальная СГТ,Моно,46.0,14.0,25.0,0
Коледино: Горючее,Моно,92.0,28.0,53.75,0
Невинномысск,Моно,52.9,16.1,43.75,0
Пенза СГТ,Моно,46.0,14.0,25.0,0
FBS: Коледино,Короб,89.7,27.3,0,0
FBS: Подольск,Короб,89.7,27.3,0,0
FBS: Электросталь,Короб,73.6,22.4,0,0
FBS: Тула,Короб,69.0,21.0,0,0
FBS: Чехов 2,Короб,89.7,27.3,0,0
FBS: Белая дача,Короб,89.7,27.3,0,0
FBS: Белые Столбы,Короб,89.7,27.3,0,0
FBS: Обухово,Короб,73.6,22.4,0,0
FBS: Радумля СГТ,Короб,43.7,13.3,0,0
FBS: Рязань (Тюшевское),Короб,55.2,16.8,0,0
FBS: Котовск,Короб,69.0,21.0,0,0
FBS: Обухово СГТ,Короб,34.5,10.5,0,0
FBS: Голицыно СГТ,Короб,34.5,10.5,0,0
FBS: Маркетплейс: Центральный федеральный округ СГТ,Короб,34.5,10.5,0,0
FBS: Маркетплейс: Центральный федеральный округ,Короб,75.9,23.1,0,0
FBS: Владимир,Короб,64.4,19.6,0,0
FBS: Софрино СГТ,Короб,43.7,13.3,0,0
FBS: Ярославль СГТ,Короб,46.0,14.0,0,0
FBS: Воронеж,Короб,73.6,22.4,0,0
FBS: Софьино СГТ,Короб,43.7,13.3,0,0
FBS: Санкт-Петербург Уткина Заводь,Короб,101.2,30.8,0,0
FBS: Маркетплейс: Северо-Западный федеральный округ СГТ,Короб,48.3,14.7,0,0
FBS: Маркетплейс: Северо-Западный федеральный округ,Короб,92.0,28.0,0,0
FBS: Санкт-Петербург СГТ,Короб,48.3,14.7,0,0
FBS: Краснодар,Короб,73.6,22.4,0,0
FBS: Волгоград,Короб,50.6,15.4,0,0
